Date,Open,High,Low,Volume,MarketCap,ETHOpen,ETHHigh,ETHLow,ETHClose,ETHVolume,ETHMarketCap,Close
28-Jul-14,594.14,594.57,575.18,19316400,7656826297,0,0,0,0,0,0,585.69
29-Jul-14,585.55,588.39,581.7,11275400,7646390353,0,0,0,0,0,0,584.72
30-Jul-14,584.74,585.12,564.9,14898800,7420859009,0,0,0,0,0,0,567.29
31-Jul-14,567.37,586.23,564.51,22467900,7670841007,0,0,0,0,0,0,586.23
1-Aug-14,586.2,597.92,583.63,18215900,7786796032,0,0,0,0,0,0,594.92
2-Aug-14,594.9,594.91,586.16,8359080,7716181169,0,0,0,0,0,0,589.33
3-Aug-14,588.89,589.15,581.65,9917990,7683520602,0,0,0,0,0,0,586.67
4-Aug-14,586.23,591.95,583.74,9867570,7713117798,0,0,0,0,0,0,588.78
5-Aug-14,589.01,589.86,584.1,10790800,7671275262,0,0,0,0,0,0,585.44
6-Aug-14,585.95,587.49,583.1,14497900,7663383046,0,0,0,0,0,0,584.65
7-Aug-14,584.65,591.1,584.05,11131400,7721014780,0,0,0,0,0,0,588.87
8-Aug-14,588.88,598.12,588.79,11072000,7771958458,0,0,0,0,0,0,592.58
9-Aug-14,592.47,592.47,587.63,7922070,7732619577,0,0,0,0,0,0,589.37
10-Aug-14,589.17,594.46,587.94,7555310,7757394871,0,0,0,0,0,0,591.06
11-Aug-14,591.28,591.51,574.05,14764200,7567178700,0,0,0,0,0,0,576.37
12-Aug-14,576.51,576.95,566.59,13978200,7481336243,0,0,0,0,0,0,569.64
13-Aug-14,570.38,573.03,532.67,25777500,7181459812,0,0,0,0,0,0,546.66
14-Aug-14,546.18,546.24,498.73,35803900,6649282620,0,0,0,0,0,0,505.97
15-Aug-14,511.14,518.18,487.93,25598300,6533519507,0,0,0,0,0,0,497.01
16-Aug-14,497.83,521.47,487.74,22832500,6833965310,0,0,0,0,0,0,519.71
17-Aug-14,519.14,520.19,483.63,24300900,6468997661,0,0,0,0,0,0,491.8
18-Aug-14,491.51,499.37,443.85,50783800,6072259848,0,0,0,0,0,0,461.46
19-Aug-14,461.48,485.71,455.54,38422400,6387510426,0,0,0,0,0,0,485.24
20-Aug-14,485.07,518.28,467.51,46527600,6741573447,0,0,0,0,0,0,511.98
21-Aug-14,510.45,531.9,510.45,49444200,6812929386,0,0,0,0,0,0,517.24
22-Aug-14,517.58,521.48,501.27,36563900,6772889206,0,0,0,0,0,0,514.04
23-Aug-14,513.39,514.3,492.11,25171900,6564528885,0,0,0,0,0,0,498.08
24-Aug-14,498.29,512.89,497.35,19441700,6700963067,0,0,0,0,0,0,508.29
25-Aug-14,508.22,508.22,499.23,18356700,6626339378,0,0,0,0,0,0,502.5
26-Aug-14,502.54,512.69,502.54,23235100,6748171027,0,0,0,0,0,0,511.57
27-Aug-14,512.19,520.71,510.92,22648500,6744868296,0,0,0,0,0,0,511.15
28-Aug-14,510.88,516.16,506.88,19862000,6703031046,0,0,0,0,0,0,507.82
29-Aug-14,508.42,511.7,503.82,17624800,6714458468,0,0,0,0,0,0,508.52
30-Aug-14,508.59,509.31,501.64,9424070,6660385523,0,0,0,0,0,0,504.25
31-Aug-14,502.9,504.88,474.81,44632300,6312801960,0,0,0,0,0,0,477.76
1-Sep-14,477.79,485.31,471.91,20432000,6276309535,0,0,0,0,0,0,474.88
2-Sep-14,474.48,482.99,472.32,23337900,6311703012,0,0,0,0,0,0,477.43
3-Sep-14,476.87,481.71,476.21,13342200,6315859936,0,0,0,0,0,0,477.59
4-Sep-14,477.68,493.93,477.09,26081400,6477467310,0,0,0,0,0,0,489.66
5-Sep-14,489.67,490.64,481.61,15302500,6395641762,0,0,0,0,0,0,483.34
6-Sep-14,483.34,488.6,483,10601400,6417500778,0,0,0,0,0,0,484.83
7-Sep-14,485.13,488.07,482.28,8994050,6385589802,0,0,0,0,0,0,482.28
8-Sep-14,481.81,489.83,468.79,30238000,6285637995,0,0,0,0,0,0,474.6
9-Sep-14,474.88,477.38,467.78,21447800,6296101902,0,0,0,0,0,0,475.26
10-Sep-14,475.48,487.47,475.14,22787800,6352285708,0,0,0,0,0,0,479.36
11-Sep-14,479.62,482.35,474.61,16852900,6359504769,0,0,0,0,0,0,479.75
12-Sep-14,479.58,479.63,473.01,15437200,6334873398,0,0,0,0,0,0,477.75
13-Sep-14,477.79,482.12,475.1,15588000,6353614254,0,0,0,0,0,0,479
14-Sep-14,479.12,479.85,476.12,13105500,6340778582,0,0,0,0,0,0,477.89
15-Sep-14,477.77,478.62,474.02,15345200,6309195218,0,0,0,0,0,0,475.37
16-Sep-14,474.86,475.64,465.13,16797300,6187570806,0,0,0,0,0,0,466.06
17-Sep-14,465.86,468.17,452.42,21056800,6073910021,0,0,0,0,0,0,457.33
18-Sep-14,456.86,456.86,413.1,34483200,5638918842,0,0,0,0,0,0,424.44
19-Sep-14,424.1,427.83,384.53,37919700,5246779621,0,0,0,0,0,0,394.8
20-Sep-14,394.67,423.3,389.88,36863600,5436072002,0,0,0,0,0,0,408.9
