NasDaqopen,NasDaqClose,NasdaqLow,NasdaqHigh,NasdaqVolume,Date,Open,High,Low,Volume,MarketCap,Close
6196.85,6243.31,6194.00,6239.01,1976970000.00,6/18/2017,2655.35,2662.1,2516.33,1178659968,41788418974,2548.29
6196.85,6243.31,6194.00,6239.01,1976970000.00,6/19/2017,2549.03,2662.85,2549.03,1446840064,42470734800,2589.6
6229.62,6234.01,6186.94,6188.03,2570130000.00,6/20/2017,2591.26,2763.45,2589.82,1854189952,44643512689,2721.79
6202.75,6236.66,6200.86,6233.95,2401440000.00,6/21/2017,2709.43,2772.01,2660.4,1626579968,44111929173,2689.1
6239.15,6257.68,6221.96,6236.69,2170250000.00,6/22/2017,2691.03,2723.74,2642.36,1097939968,44384244937,2705.41
6234.35,6269.37,6218.78,6265.25,2704600000.00,6/23/2017,2707.34,2765.17,2706.37,961318976,45037797053,2744.91
6292.73,6303.45,6233.43,6247.15,2150630000.00,6/24/2017,2738.52,2757.94,2583.19,982750016,42807952581,2608.72
6292.73,6303.45,6233.43,6247.15,2150630000.00,6/25/2017,2607.25,2682.26,2552.12,1161100032,42495001716,2589.41
6292.73,6303.45,6233.43,6247.15,2150630000.00,6/26/2017,2590.57,2615.25,2376.29,1663280000,40677994354,2478.45
6227.90,6234.32,6146.62,6146.62,2181830000.00,6/27/2017,2478.45,2552.45,2332.99,1489789952,41897190525,2552.45
6173.10,6238.29,6144.80,6234.41,2069400000.00,6/28/2017,2553.03,2603.98,2484.42,1183869952,42268942193,2574.79
6215.49,6216.60,6087.81,6144.35,2402250000.00,6/29/2017,2567.56,2588.83,2510.48,949979008,41690395783,2539.32
6166.84,6170.63,6129.04,6140.42,1998330000.00,6/30/2017,2539.24,2559.25,2478.43,860273024,40735082695,2480.84
6173.29,6177.36,6106.12,6110.06,1099560000.00,7/1/2017,2492.6,2515.27,2419.23,779913984,39980058373,2434.55
6173.29,6177.36,6106.12,6110.06,1099560000.00,7/2/2017,2436.4,2514.28,2394.84,803747008,41167015221,2506.47
6173.29,6177.36,6106.12,6110.06,1099560000.00,7/3/2017,2498.56,2595,2480.47,964112000,42118211083,2564.06
